TIME,SOFT_XRAY,HARD_XRAY
322,117.0,0.0
323,122.0,140.0
324,119.0,0.0
325,117.0,0.0
326,128.0,0.0
327,121.0,0.0
328,115.0,0.0
329,117.0,0.0
330,136.0,0.0
331,133.0,0.0
332,105.0,153.0
333,113.0,0.0
334,101.0,0.0
335,120.0,0.0
336,130.0,0.0
337,116.0,0.0
338,137.0,0.0
339,131.0,0.0
340,126.0,143.0
341,136.0,0.0
342,134.0,88.0
343,116.0,0.0
344,109.0,0.0
345,106.0,0.0
346,121.0,38.0
347,132.0,0.0
348,124.0,249.0
349,133.0,0.0
350,118.0,0.0
351,132.0,0.0
352,140.0,0.0
353,107.0,120.0
354,136.0,10.0
355,118.0,0.0
356,123.0,0.0
357,111.0,0.0
358,149.0,0.0
359,128.0,0.0
360,115.0,0.0
361,110.0,210.0
362,133.0,0.0
363,132.0,0.0
364,137.0,0.0
365,131.0,0.0
366,131.0,0.0
367,137.0,0.0
368,123.0,70.0
369,109.0,154.0
370,118.0,0.0
371,113.0,0.0
372,130.0,0.0
373,141.0,0.0
374,118.0,0.0
375,100.0,0.0
376,107.0,120.0
377,127.0,0.0
378,110.0,0.0
379,107.0,0.0
380,115.0,0.0
381,109.0,0.0
382,123.0,0.0
383,126.0,0.0
384,108.0,22.0
385,113.0,0.0
386,140.0,174.0
387,125.0,0.0
388,127.0,0.0
389,130.0,0.0
390,124.0,0.0
391,118.0,204.0
392,135.0,0.0
393,117.0,28.0
394,129.0,0.0
395,139.0,0.0
396,123.0,0.0
397,113.0,0.0
398,121.0,0.0
399,132.0,240.0
400,115.0,0.0
401,148.0,0.0
402,133.0,0.0
403,123.0,0.0
404,115.0,0.0
405,138.0,0.0
406,128.0,0.0
407,136.0,160.0
408,119.0,0.0
409,114.0,0.0
410,127.0,0.0
411,134.0,0.0
412,127.0,0.0
413,105.0,0.0
414,120.0,50.0
415,122.0,0.0
416,123.0,78.0
417,119.0,0.0
418,122.0,0.0
419,129.0,0.0
420,135.0,0.0
421,101.0,0.0
422,143.0,0.0
423,111.0,106.0
424,136.0,0.0
425,124.0,109.0
426,128.0,0.0
427,123.0,0.0
428,119.0,75.0
429,111.0,0.0
430,97.0,0.0
431,118.0,236.0
432,133.0,0.0
433,117.0,0.0
434,125.0,0.0
435,95.0,0.0
436,128.0,180.0
437,120.0,0.0
438,116.0,0.0
439,122.0,0.0
440,128.0,0.0
441,117.0,0.0
442,134.0,0.0
443,141.0,0.0
444,113.0,142.0
445,130.0,0.0
446,108.0,0.0
447,118.0,0.0
448,112.0,0.0
449,119.0,0.0
450,140.0,0.0
451,117.0,0.0
452,115.0,146.0
453,119.0,0.0
454,94.0,0.0
455,130.0,0.0
456,121.0,0.0
457,121.0,0.0
458,125.0,0.0
459,125.0,25.0
460,114.0,165.0
461,123.0,0.0
462,134.0,0.0
463,123.0,0.0
464,119.0,0.0
465,106.0,0.0
466,110.0,96.0
467,90.0,0.0
468,133.0,160.0
469,133.0,0.0
470,115.0,0.0
471,112.0,0.0
472,123.0,0.0
473,116.0,0.0
474,116.0,0.0
475,128.0,123.0
476,112.0,43.0
477,104.0,0.0
478,130.0,0.0
479,104.0,0.0
480,146.0,0.0
481,109.0,0.0
482,136.0,0.0
483,141.0,161.0
484,136.0,87.0
